timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
73907.379;-2391;287;0;0;0;13.78003652012314;1;1
73911.369;-2393;285;0;0;0;13.778927299413972;1;1
73915.358;-2393;285;0;0;0;13.777818535196396;1;1
73919.366;-2395;282;0;0;0;13.79687554020113;1;1
73923.363;-2397;280;0;0;0;13.7957632847906;1;1
73926.803;-2398;279;0;0;0;13.794806170771754;1;1
73930.761;-2399;277;0;0;0;13.813871333004503;1;1
73934.788;-2399;277;0;0;0;13.812749607475936;1;1
73939.144;-2400;275;0;0;0;13.831699270629898;1;1
73943.147;-2401;273;0;0;0;13.850744179113873;1;1
73947.048;-2402;273;0;0;0;13.82949530567257;1;1
73951.044;-2403;269;0;0;0;13.888855292238448;1;1
73955.032;-2405;268;0;0;0;13.867582486114076;1;1
73959.177;-2405;267;0;0;0;13.886578658005472;1;1
73963.034;-2405;267;0;0;0;13.885499246172571;1;1
73967.174;-2406;265;0;0;0;13.904492259328855;1;1
73971.169;-2406;265;0;0;0;13.903372968357031;1;1
73975.102;-2406;263;0;0;0;13.942567662454788;1;1
73978.648;-2407;263;0;0;0;13.921424818946933;1;1
73983.146;-2407;262;0;0;0;13.940308324970827;1;1
74043.322;-2408;262;0;0;0;13.903309184767494;1;1
74059.365;-2409;262;0;0;0;13.878708654949778;1;1
74063.321;-2409;262;0;0;0;13.877604396441162;1;1
74067.319;-2410;263;0;0;0;13.836266886706213;1;1
74071.317;-2410;264;0;0;0;13.815045259958431;1;1
74075.284;-2411;267;0;0;0;13.733512747032314;1;1
74079.32;-2411;268;0;0;0;13.712292301999526;1;1
74083.319;-2411;270;0;0;0;13.67098110097437;1;1
74087.316;-2411;273;0;0;0;13.609574321463212;1;1
74091.331;-2411;274;0;0;0;13.588374799619212;1;1
74095.304;-2411;277;0;0;0;13.52699107057793;1;1
74099.324;-2411;279;0;0;0;13.485702341809295;1;1
74102.393;-2412;282;0;0;0;13.404483878234311;1;1
74107.328;-2412;284;0;0;0;13.362965223094001;1;1
74111.307;-2412;287;0;0;0;13.301617615344265;1;1
74115.304;-2412;290;0;0;0;13.240275028037638;1;1
74119.038;-2412;293;0;0;0;13.179011925278056;1;1
74122.572;-2413;296;0;0;0;13.097722185580741;1;1
74127.266;-2413;299;0;0;0;13.036227334289162;1;1
74130.596;-2414;301;0;0;0;12.97509953869705;1;1
74135.081;-2414;304;0;0;0;12.913680361346868;1;1
74139.061;-2414;306;0;0;0;12.8724844660139;1;1
74143.048;-2415;309;0;0;0;12.791132809227545;1;1
74147.356;-2416;312;0;0;0;12.709712260145844;1;1
74151.371;-2417;314;0;0;0;12.648456997665477;1;1
74154.344;-2419;317;0;0;0;12.547323485256996;1;1
74158.976;-2419;318;0;0;0;12.526082958159751;1;1
