timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
17916.299;-1426;420;0;0;0;-423.5388265207669;1;1
17920.294;-1431;424;0;0;0;-428.7087730369064;1;1
17924.293;-1435;427;0;0;0;-432.4374658741233;1;1
17928.295;-1441;431;0;0;0;-438.2546350879464;1;1
17932.295;-1447;434;0;0;0;-443.3382811382009;1;1
17936.367;-1455;438;0;0;0;-450.4693554930681;1;1
17940.354;-1462;441;0;0;0;-456.1919689287231;1;1
17944.384;-1470;444;0;0;0;-462.56461123357286;1;1
17947.837;-1479;448;0;0;0;-470.4772082243302;1;1
17951.832;-1488;453;0;0;0;-478.8645650601868;1;1
17955.821;-1501;456;0;0;0;-488.58788440065865;1;1
17960.546;-1513;459;0;0;0;-497.31771723601406;1;1
17964.543;-1526;463;0;0;0;-507.6156060244369;1;1
17968.532;-1544;466;0;0;0;-520.5963941345684;1;1
17972.519;-1562;470;0;0;0;-534.1894919537281;1;1
17976.51;-1581;474;0;0;0;-548.3877332603964;1;1
17980.461;-1597;478;0;0;0;-560.4886701218826;1;1
17984.449;-1612;480;0;0;0;-570.4803810240495;1;1
17988.45;-1625;483;0;0;0;-579.7383146285051;1;1
17992.447;-1636;484;0;0;0;-586.2556370734334;1;1
17996.453;-1645;484;0;0;0;-590.7205851355906;1;1
18000.439;-1654;484;0;0;0;-595.1695530269961;1;1
18004.45;-1659;484;0;0;0;-596.914074419294;1;1
18007.609;-1664;484;0;0;0;-598.9891142556744;1;1
18012.316;-1668;484;0;0;0;-599.7732418773235;1;1
18016.449;-1672;484;0;0;0;-600.7808163465372;1;1
18020.446;-1675;482;0;0;0;-599.8550570489906;1;1
18024.124;-1675;482;0;0;0;-598.4010565601034;1;1
18032.448;-1677;482;0;0;0;-596.4471413468301;1;1
18036.45;-1678;482;0;0;0;-595.5404415105415;1;1
18040.006;-1678;482;0;0;0;-594.1592385891751;1;1
18048.443;-1678;484;0;0;0;-592.204948316659;1;1
18052.32;-1678;485;0;0;0;-591.3664382077068;1;1
18056.36;-1675;490;0;0;0;-591.1153300856407;1;1
18060.391;-1675;490;0;0;0;-589.5816544845537;1;1
18064.499;-1673;492;0;0;0;-588.0268489464305;1;1
18068.502;-1671;493;0;0;0;-585.8793472727797;1;1
18072.366;-1671;493;0;0;0;-584.433377469231;1;1
18076.03;-1670;493;0;0;0;-582.43159455624;1;1
18256.413;-1670;493;0;0;0;-522.3854152735437;1;1
18264.491;-1669;493;0;0;0;-519.4157966120209;1;1
18267.952;-1670;492;0;0;0;-518.3950760984667;1;1
18272.38;-1672;492;0;0;0;-518.2277404194416;1;1
18276.486;-1677;492;0;0;0;-519.850667245283;1;1
18280.496;-1683;492;0;0;0;-522.058081498566;1;1
18284.49;-1689;492;0;0;0;-524.2602558412549;1;1
18288.496;-1697;492;0;0;0;-527.5715041793204;1;1
18292.489;-1706;492;0;0;0;-531.4317521792062;1;1
18296.498;-1714;492;0;0;0;-534.7112531296252;1;1
18300.501;-1722;492;0;0;0;-537.9778944046953;1;1
18304.495;-1731;492;0;0;0;-541.7889492854393;1;1
18308.419;-1739;492;0;0;0;-545.0492653490758;1;1
18312.487;-1747;492;0;0;0;-548.2516862892776;1;1
18316.493;-1754;492;0;0;0;-550.906038747979;1;1
18320.49;-1761;492;0;0;0;-553.5514127414964;1;1
18323.799;-1767;491;0;0;0;-555.2950603505018;1;1
18328.372;-1774;490;0;0;0;-557.1948123241611;1;1
18332.495;-1782;490;0;0;0;-560.3182914619105;1;1
18336.49;-1789;489;0;0;0;-562.3740601822224;1;1
18339.855;-1796;489;0;0;0;-565.1603724385034;1;1
18344.496;-1803;488;0;0;0;-566.9979959178321;1;1
18348.493;-1808;488;0;0;0;-568.4822988620581;1;1
18352.487;-1815;487;0;0;0;-570.5028877306663;1;1
18356.367;-1822;487;0;0;0;-573.0906888982602;1;1
18360.486;-1829;487;0;0;0;-575.5934357533612;1;1
18364.488;-1838;486;0;0;0;-578.6597808844182;1;1
18368.369;-1846;486;0;0;0;-581.7507528381165;1;1
18372.365;-1856;485;0;0;0;-585.3288293745022;1;1
18376.495;-1866;484;0;0;0;-588.849406444077;1;1
18380.488;-1877;484;0;0;0;-593.4651587385877;1;1
18384.49;-1889;484;0;0;0;-598.5909679865669;1;1
18388.362;-1901;483;0;0;0;-603.2052252984803;1;1
18394.489;-1914;483;0;0;0;-608.1339505080673;1;1
